Rainier Dozen,12min,easy,1,1
Rainier Dozen,12min,easy,1,2
Hike,30min,medium,1,2
Rainier Dozen,12min,easy,1,3
Rainier Dozen,12min,easy,1,4
Hike,30min,medium,1,4
Rainier Dozen,12min,easy,1,5
Hike,30min,medium,1,6
Rest,,,1,7
Stair Interval,30min,medium,2,1
Cross Training,1hr,hard,2,2
Rainier Dozen,12min,easy,2,3
Rainier Dozen,12min,easy,2,4
Rest,,,2,4
Rainier Dozen,12min,easy,2,5
Hike,30min,medium,2,6
Strength Circuit,1hr,medium,2,7
